role_id,client_segment,role_family,city,work_structure,priority,open_days,submit_rate,interview_rate,offer_rate,placement_readiness_score,fill_risk_score,data_quality_score,expected_shortlist_days,placements,estimated_weekly_margin,recommendation,recruiter_owner,priority_score
REQ031,Professional services firm,Finance Analyst,Columbus,Remote,Standard,30,39.2,19.1,0.0,35.0,63.5,71.4,12.1,0,705.0,Clean source data before promising a new shortlist,North desk,54.6
REQ025,Healthcare network,Cybersecurity Analyst,Columbus,Onsite,High,17,47.4,27.8,0.0,39.9,61.4,66.2,10.5,0,810.0,Clean source data before promising a new shortlist,Central desk,54.1
REQ033,Healthcare network,Data Analyst,Cleveland,Remote,High,16,35.5,21.2,0.0,34.6,61.2,76.6,10.8,0,792.0,Review client feedback and adjust candidate slate,Enterprise desk,53.3
REQ015,Professional services firm,Cybersecurity Analyst,Cleveland,Hybrid,Standard,33,37.0,0.0,0.0,27.3,65.4,63.6,11.9,0,370.0,Clean source data before promising a new shortlist,Central desk,52.5
REQ029,Energy utility,ERP Analyst,Louisville,Onsite,High,9,41.0,37.5,0.0,34.0,62.5,32.0,11.8,0,752.0,Clean source data before promising a new shortlist,North desk,51.3
REQ030,Hospitality group,Finance Analyst,Cincinnati,Remote,High,13,55.6,35.0,7.1,41.5,56.4,29.4,11.2,0,1040.0,Clean source data before promising a new shortlist,Central desk,51.1
REQ036,B2B software firm,Cybersecurity Analyst,Cincinnati,Hybrid,High,23,51.4,33.3,0.0,38.3,60.0,37.2,11.8,0,486.0,Clean source data before promising a new shortlist,Central desk,50.2
REQ014,Hospitality group,Finance Analyst,Dayton,Remote,Standard,16,40.0,30.8,0.0,38.4,54.0,63.6,10.5,0,988.0,Clean source data before promising a new shortlist,Specialty desk,44.1
REQ027,Insurance carrier,ERP Analyst,Cleveland,Onsite,Standard,25,33.3,20.0,0.0,37.5,60.2,94.8,10.0,0,330.0,Review client feedback and adjust candidate slate,Enterprise desk,43.8
REQ022,Hospitality group,Cybersecurity Analyst,Indianapolis,Hybrid,High,15,50.0,31.6,0.0,45.8,55.9,74.0,10.1,0,285.0,Clean source data before promising a new shortlist,North desk,40.0
REQ013,Energy utility,Data Engineer,Columbus,Hybrid,Standard,8,36.4,16.7,0.0,31.9,53.9,68.8,9.8,0,300.0,Clean source data before promising a new shortlist,North desk,30.6
