check_id,role_id,check_name,records_tested,issue_count,severity,owner
location_mismatch,REQ018,Location or work structure mismatch,46,2,Watch,Enterprise desk
missing_pay_rate,REQ022,Missing pay or bill rate,45,2,Watch,North desk
duplicate_candidate,REQ022,Duplicate candidate identifier,45,2,Watch,North desk
duplicate_candidate,REQ023,Duplicate candidate identifier,27,2,Watch,Specialty desk
location_mismatch,REQ023,Location or work structure mismatch,27,2,Watch,Specialty desk
stage_backfill,REQ023,Late stage history backfill,27,2,Watch,Specialty desk
missing_pay_rate,REQ024,Missing pay or bill rate,26,2,Watch,Enterprise desk
duplicate_candidate,REQ029,Duplicate candidate identifier,54,2,Watch,North desk
stage_backfill,REQ030,Late stage history backfill,50,2,Watch,Central desk
duplicate_candidate,REQ031,Duplicate candidate identifier,42,2,Watch,North desk
location_mismatch,REQ031,Location or work structure mismatch,42,2,Watch,North desk
skill_taxonomy_gap,REQ031,Skill taxonomy not standardized,42,2,Watch,North desk
stage_backfill,REQ031,Late stage history backfill,42,2,Watch,North desk
stage_backfill,REQ032,Late stage history backfill,38,2,Watch,Central desk
missing_pay_rate,REQ037,Missing pay or bill rate,25,2,Watch,Specialty desk
duplicate_candidate,REQ038,Duplicate candidate identifier,31,2,Watch,Enterprise desk
stage_backfill,REQ039,Late stage history backfill,48,2,Watch,North desk
missing_pay_rate,REQ040,Missing pay or bill rate,29,2,Watch,Central desk
duplicate_candidate,REQ040,Duplicate candidate identifier,29,2,Watch,Central desk
stage_backfill,REQ041,Late stage history backfill,27,2,Watch,Specialty desk
duplicate_candidate,REQ042,Duplicate candidate identifier,32,2,Watch,Enterprise desk
