week_start,role_id,applicants,qualified,screened,submitted,client_interviews,offers,placements,candidate_dropoffs,recruiter_touches
2026-05-04,REQ011,17,5,3,1,0,0,0,7,21
2026-05-11,REQ011,18,6,4,1,0,0,0,7,9
2026-03-23,REQ012,22,12,9,3,1,0,0,3,20
2026-03-30,REQ012,22,8,6,2,1,0,0,2,15
2026-04-06,REQ012,27,11,6,3,1,0,0,5,24
2026-04-13,REQ012,29,13,8,3,1,0,0,6,15
2026-04-20,REQ012,23,8,5,1,0,0,0,8,23
2026-04-27,REQ012,27,12,8,3,1,0,0,6,35
2026-05-04,REQ012,33,13,9,3,1,0,0,6,24
2026-05-11,REQ012,23,10,6,2,0,0,0,4,27
2026-03-23,REQ013,22,6,4,2,1,0,0,7,14
2026-03-30,REQ013,21,6,4,1,0,0,0,7,10
2026-04-06,REQ013,22,5,3,1,0,0,0,4,17
2026-04-13,REQ013,21,7,5,1,0,0,0,6,29
2026-04-20,REQ013,21,5,4,2,0,0,0,6,12
2026-04-27,REQ013,26,7,5,2,0,0,0,6,20
2026-05-04,REQ013,23,6,4,2,1,0,0,2,28
2026-05-11,REQ013,24,7,4,1,0,0,0,4,15
2026-03-23,REQ014,19,8,6,3,1,0,0,7,18
2026-03-30,REQ014,25,13,9,3,1,0,0,5,31
2026-04-06,REQ014,21,10,7,3,1,0,0,6,15
2026-04-13,REQ014,22,10,8,3,1,0,0,5,22
2026-04-20,REQ014,24,14,10,4,1,0,0,6,9
2026-04-27,REQ014,23,14,10,3,1,0,0,5,16
2026-05-04,REQ014,22,11,9,3,1,0,0,2,21
2026-05-11,REQ014,18,9,6,4,1,0,0,8,28
2026-03-23,REQ015,20,5,3,1,0,0,0,5,27
2026-03-30,REQ015,15,3,2,1,0,0,0,1,32
2026-04-06,REQ015,17,5,3,1,0,0,0,5,27
2026-04-13,REQ015,18,6,4,2,0,0,0,6,21
2026-04-20,REQ015,16,6,4,1,0,0,0,6,25
2026-04-27,REQ015,15,6,3,1,0,0,0,3,19
2026-05-04,REQ015,16,6,3,1,0,0,0,5,34
2026-05-11,REQ015,19,7,5,2,0,0,0,7,32
2026-03-23,REQ016,17,4,3,2,1,0,0,5,23
2026-03-30,REQ016,19,7,4,2,1,0,0,3,33
2026-04-06,REQ016,20,8,6,4,1,0,0,5,19
2026-04-13,REQ016,24,8,6,4,1,0,0,6,17
2026-04-20,REQ016,19,4,3,1,0,0,0,3,22
2026-04-27,REQ016,17,7,5,4,1,0,0,2,29
2026-05-04,REQ016,22,6,5,3,1,0,0,4,9
2026-05-11,REQ016,18,5,4,2,1,0,0,4,19
2026-03-23,REQ017,17,4,2,1,0,0,0,2,31
2026-03-30,REQ017,15,4,3,1,0,0,0,5,17
2026-04-06,REQ017,18,7,4,1,0,0,0,3,33
2026-04-13,REQ017,18,6,4,2,0,0,0,3,30
2026-04-20,REQ017,18,6,4,2,1,0,0,3,33
2026-04-27,REQ017,17,4,3,1,0,0,0,1,17
2026-05-04,REQ017,16,5,3,1,0,0,0,4,28
2026-05-11,REQ017,14,4,3,1,0,0,0,2,21
2026-03-23,REQ018,32,10,6,2,0,0,0,6,24
2026-03-30,REQ018,32,17,11,5,1,0,0,10,10
2026-04-06,REQ018,28,10,8,3,1,0,0,6,9
2026-04-13,REQ018,32,10,6,3,1,0,0,7,27
2026-04-20,REQ018,29,13,9,3,1,0,0,9,20
2026-04-27,REQ018,26,8,5,2,1,0,0,5,35
2026-05-04,REQ018,30,15,12,7,1,0,0,5,15
2026-05-11,REQ018,28,10,6,2,0,0,0,5,35
2026-03-23,REQ019,26,14,10,4,1,0,0,6,23
2026-03-30,REQ019,19,10,7,5,1,0,0,6,27
2026-04-06,REQ019,27,13,9,5,2,0,0,9,19
2026-04-13,REQ019,26,10,7,4,1,0,0,7,22
2026-04-20,REQ019,26,10,8,5,1,0,0,4,25
2026-04-27,REQ019,28,14,8,4,1,0,0,8,33
2026-05-04,REQ019,23,10,7,4,1,0,0,7,31
2026-05-11,REQ019,27,12,8,4,1,0,0,4,19
2026-03-23,REQ020,31,20,14,9,4,1,1,9,16
2026-03-30,REQ020,34,20,15,8,3,1,1,10,31
2026-04-06,REQ020,30,18,11,6,1,0,0,7,22
2026-04-13,REQ020,27,11,8,4,2,1,0,8,31
2026-04-20,REQ020,24,9,5,2,1,0,0,5,22
2026-04-27,REQ020,33,15,10,6,2,0,0,9,23
2026-05-04,REQ020,25,11,8,3,1,0,0,4,30
2026-05-11,REQ020,31,14,9,6,3,0,0,10,25
2026-03-23,REQ021,17,5,3,1,0,0,0,2,19
2026-03-30,REQ021,18,6,5,1,0,0,0,3,12
2026-04-06,REQ021,13,5,3,1,0,0,0,2,21
2026-04-13,REQ021,14,4,3,1,0,0,0,6,36
2026-04-20,REQ021,17,5,3,1,0,0,0,2,28
2026-04-27,REQ021,16,5,4,2,1,0,0,2,9
2026-05-04,REQ021,18,5,3,1,0,0,0,2,17
2026-05-11,REQ021,16,4,3,1,0,0,0,2,35
2026-03-23,REQ022,22,6,3,1,0,0,0,8,18
2026-03-30,REQ022,25,8,6,2,1,0,0,6,18
2026-04-06,REQ022,19,7,4,2,1,0,0,4,22
2026-04-13,REQ022,24,10,6,4,1,0,0,4,29
2026-04-20,REQ022,19,5,3,2,1,0,0,2,28
2026-04-27,REQ022,26,7,5,2,0,0,0,6,19
2026-05-04,REQ022,21,7,5,3,1,0,0,6,35
2026-05-11,REQ022,25,8,6,3,1,0,0,6,14
2026-03-23,REQ023,42,15,12,5,2,0,0,7,22
2026-03-30,REQ023,46,21,14,6,1,0,0,12,8
2026-04-06,REQ023,39,22,17,8,1,0,0,5,36
2026-04-13,REQ023,34,20,11,5,2,0,0,14,21
2026-04-20,REQ023,39,23,15,9,2,0,0,12,12
2026-04-27,REQ023,43,18,11,5,2,0,0,7,32
2026-05-04,REQ023,33,13,10,5,2,0,0,5,12
2026-05-11,REQ023,37,22,16,5,2,0,0,6,15
2026-03-23,REQ024,13,4,3,2,1,0,0,4,15
2026-03-30,REQ024,15,5,4,1,0,0,0,5,18
2026-04-06,REQ024,16,6,5,2,1,0,0,4,17
2026-04-13,REQ024,14,5,4,2,0,0,0,1,19
2026-04-20,REQ024,18,6,5,2,1,0,0,5,23
2026-04-27,REQ024,14,4,3,1,0,0,0,4,25
2026-05-04,REQ024,15,4,2,1,0,0,0,6,31
2026-05-11,REQ024,17,4,3,2,0,0,0,5,31
2026-03-23,REQ025,20,6,5,2,1,0,0,6,11
2026-03-30,REQ025,22,8,6,3,1,0,0,4,32
2026-04-06,REQ025,18,6,4,2,1,0,0,7,23
2026-04-13,REQ025,22,6,4,2,0,0,0,2,16
2026-04-20,REQ025,20,7,5,2,0,0,0,3,23
2026-04-27,REQ025,20,8,5,3,1,0,0,6,13
2026-05-04,REQ025,22,6,4,2,0,0,0,2,24
2026-05-11,REQ025,16,6,5,2,1,0,0,2,10
2026-03-23,REQ026,18,5,3,1,0,0,0,7,23
2026-03-30,REQ026,17,5,3,1,0,0,0,6,34
2026-04-06,REQ026,22,7,6,2,1,0,0,5,24
2026-04-13,REQ026,19,5,4,1,0,0,0,6,15
2026-04-20,REQ026,19,7,4,3,1,0,0,6,25
2026-04-27,REQ026,20,7,5,2,1,0,0,2,36
2026-05-04,REQ026,21,5,3,2,1,0,0,2,29
2026-05-11,REQ026,24,9,6,2,1,0,0,7,12
2026-03-23,REQ027,27,11,9,3,1,0,0,7,36
2026-03-30,REQ027,24,8,6,3,1,0,0,4,9
2026-04-06,REQ027,20,6,3,1,0,0,0,5,8
2026-04-13,REQ027,25,10,7,2,1,0,0,7,29
2026-04-20,REQ027,22,9,6,2,0,0,0,8,12
2026-04-27,REQ027,26,8,5,1,0,0,0,4,10
2026-05-04,REQ027,21,7,5,2,0,0,0,6,33
2026-05-11,REQ027,22,7,4,1,0,0,0,4,26
2026-03-23,REQ028,24,11,6,2,0,0,0,8,17
2026-03-30,REQ028,27,10,6,2,1,0,0,4,12
2026-04-06,REQ028,25,16,10,4,1,0,0,11,27
2026-04-13,REQ028,24,11,9,3,1,0,0,4,31
2026-04-20,REQ028,30,15,11,3,1,0,0,4,26
2026-04-27,REQ028,24,16,10,4,1,0,0,7,22
2026-05-04,REQ028,31,19,11,5,1,0,0,10,15
2026-05-11,REQ028,25,10,7,2,0,0,0,7,24
2026-03-23,REQ029,22,5,4,2,1,0,0,1,32
2026-03-30,REQ029,20,8,5,2,1,0,0,5,33
2026-04-06,REQ029,22,5,3,1,0,0,0,5,19
2026-04-13,REQ029,21,8,6,3,1,0,0,5,10
2026-04-20,REQ029,19,8,5,2,1,0,0,6,11
2026-04-27,REQ029,22,8,5,2,1,0,0,8,11
2026-05-04,REQ029,24,7,6,2,0,0,0,4,15
2026-05-11,REQ029,25,9,5,2,1,0,0,7,26
2026-03-23,REQ030,31,18,11,7,3,0,0,11,13
2026-03-30,REQ030,30,12,7,4,1,0,0,8,27
2026-04-06,REQ030,31,12,8,4,1,0,0,8,26
2026-04-13,REQ030,27,10,6,3,1,0,0,7,27
2026-04-20,REQ030,27,13,8,5,2,0,0,9,13
2026-04-27,REQ030,32,12,8,4,1,0,0,5,14
2026-05-04,REQ030,36,23,16,9,4,1,0,10,13
2026-05-11,REQ030,27,10,8,4,1,0,0,5,26
2026-03-23,REQ031,48,24,17,7,1,0,0,11,34
2026-03-30,REQ031,47,27,18,6,1,0,0,10,17
2026-04-06,REQ031,49,17,11,5,1,0,0,7,14
2026-04-13,REQ031,48,25,16,7,2,0,0,10,34
2026-04-20,REQ031,38,14,9,3,1,0,0,7,26
2026-04-27,REQ031,39,24,20,9,1,0,0,4,16
2026-05-04,REQ031,49,19,15,5,1,0,0,9,20
2026-05-11,REQ031,43,23,14,5,1,0,0,9,20
2026-03-23,REQ032,17,5,4,1,0,0,0,6,10
2026-03-30,REQ032,17,5,4,1,0,0,0,4,34
2026-04-06,REQ032,14,3,2,1,0,0,0,3,36
2026-04-13,REQ032,17,4,2,1,0,0,0,5,22
2026-04-20,REQ032,13,5,3,1,0,0,0,4,10
2026-04-27,REQ032,17,4,3,1,0,0,0,6,32
2026-05-04,REQ032,14,4,3,1,0,0,0,6,22
2026-05-11,REQ032,13,4,3,1,0,0,0,4,10
2026-03-23,REQ033,45,16,10,3,1,0,0,11,29
2026-03-30,REQ033,34,16,9,4,1,0,0,8,21
2026-04-06,REQ033,42,19,12,5,1,0,0,9,21
2026-04-13,REQ033,37,13,8,2,0,0,0,10,8
2026-04-20,REQ033,45,23,15,5,1,0,0,8,33
2026-04-27,REQ033,46,27,18,5,1,0,0,9,19
2026-05-04,REQ033,47,17,13,5,1,0,0,4,8
2026-05-11,REQ033,41,13,8,4,1,0,0,10,24
2026-03-23,REQ034,19,6,3,1,0,0,0,7,14
2026-03-30,REQ034,23,5,3,1,0,0,0,4,30
2026-04-06,REQ034,19,7,4,2,1,0,0,3,17
2026-04-13,REQ034,21,7,4,1,0,0,0,5,24
2026-04-20,REQ034,20,7,4,2,1,0,0,3,32
2026-04-27,REQ034,23,6,4,2,0,0,0,5,22
2026-05-04,REQ034,20,4,3,1,0,0,0,6,31
2026-05-11,REQ034,17,6,3,2,0,0,0,4,13
2026-03-23,REQ035,15,9,7,3,1,0,0,4,34
2026-03-30,REQ035,12,6,4,2,0,0,0,5,10
2026-04-06,REQ035,17,10,8,3,1,0,0,4,26
2026-04-13,REQ035,16,9,6,2,1,0,0,8,36
2026-04-20,REQ035,15,9,5,3,0,0,0,9,36
2026-04-27,REQ035,12,5,4,2,1,0,0,2,21
2026-05-04,REQ035,15,5,4,2,0,0,0,5,21
2026-05-11,REQ035,16,7,6,2,0,0,0,1,26
2026-03-23,REQ036,20,7,4,2,1,0,0,8,18
2026-03-30,REQ036,22,6,3,1,0,0,0,4,22
2026-04-06,REQ036,23,7,5,3,1,0,0,2,10
2026-04-13,REQ036,20,7,5,3,1,0,0,2,30
2026-04-20,REQ036,21,6,4,2,1,0,0,5,35
2026-04-27,REQ036,23,8,5,2,1,0,0,4,12
2026-05-04,REQ036,21,6,4,2,0,0,0,2,8
2026-05-11,REQ036,28,7,5,3,1,0,0,2,9
2026-03-23,REQ037,27,17,11,5,1,0,0,8,14
2026-03-30,REQ037,38,16,11,3,1,0,0,8,21
2026-04-06,REQ037,38,19,11,4,1,0,0,9,28
2026-04-13,REQ037,39,20,11,4,1,0,0,11,26
2026-04-20,REQ037,33,15,9,3,1,0,0,6,33
2026-04-27,REQ037,39,20,15,8,3,0,0,7,25
2026-05-04,REQ037,37,23,13,7,1,0,0,12,34
2026-05-11,REQ037,39,16,10,3,1,0,0,11,30
2026-03-23,REQ038,32,15,11,3,1,0,0,6,13
2026-03-30,REQ038,27,9,6,2,1,0,0,4,33
2026-04-06,REQ038,24,13,10,5,1,0,0,4,32
2026-04-13,REQ038,23,11,7,2,1,0,0,6,17
2026-04-20,REQ038,26,16,12,4,1,0,0,9,25
2026-04-27,REQ038,30,18,14,4,1,0,0,9,17
2026-05-04,REQ038,24,13,10,5,1,0,0,3,13
2026-05-11,REQ038,29,17,14,4,1,0,0,8,10
2026-03-23,REQ039,16,5,4,2,1,0,0,3,22
2026-03-30,REQ039,14,4,3,1,0,0,0,4,31
2026-04-06,REQ039,17,5,3,2,1,0,0,6,28
2026-04-13,REQ039,19,5,3,2,0,0,0,2,10
2026-04-20,REQ039,16,7,4,1,0,0,0,7,36
2026-04-27,REQ039,17,4,3,1,0,0,0,2,14
2026-05-04,REQ039,17,6,5,2,1,0,0,4,26
2026-05-11,REQ039,18,6,3,1,0,0,0,6,14
2026-03-23,REQ040,15,5,3,1,0,0,0,5,36
2026-03-30,REQ040,19,6,4,2,1,0,0,4,22
2026-04-06,REQ040,18,6,4,1,0,0,0,4,33
2026-04-13,REQ040,18,10,7,4,2,0,0,7,29
2026-04-20,REQ040,21,9,7,3,1,0,0,6,26
2026-04-27,REQ040,21,11,8,4,1,0,0,4,14
2026-05-04,REQ040,20,7,5,3,1,0,0,6,16
2026-05-11,REQ040,17,8,6,2,1,0,0,6,22
2026-03-23,REQ041,14,7,5,3,1,0,0,2,11
2026-03-30,REQ041,13,5,3,2,1,0,0,5,26
2026-04-06,REQ041,13,4,2,1,0,0,0,4,30
2026-04-13,REQ041,11,6,5,3,1,0,0,3,34
2026-04-20,REQ041,13,7,4,3,1,0,0,5,16
2026-04-27,REQ041,14,7,4,2,1,0,0,7,35
2026-05-04,REQ041,12,4,3,1,0,0,0,5,36
2026-05-11,REQ041,13,5,4,2,0,0,0,3,30
2026-03-23,REQ042,11,4,3,2,0,0,0,5,22
2026-03-30,REQ042,10,4,3,1,0,0,0,6,10
2026-04-06,REQ042,11,3,2,1,0,0,0,6,14
2026-04-13,REQ042,11,3,2,1,0,0,0,6,13
2026-04-20,REQ042,12,3,2,1,0,0,0,4,36
2026-04-27,REQ042,11,3,2,1,0,0,0,1,8
2026-05-04,REQ042,12,4,3,1,0,0,0,1,23
2026-05-11,REQ042,10,4,3,2,1,0,0,3,14
