event_id,role_id,candidate_id,source,stage,event_age_days,profile_complete_pct,duplicate_candidate_flag,missing_rate_flag,location_mismatch_flag,skill_taxonomy_gap_flag,estimated_margin_value
EVT00120,REQ004,CAND00120,Community event,interview,18,0.73,0,0,0,0,12992
EVT00121,REQ004,CAND00121,Talent pool,qualified,9,0.94,0,1,0,0,12516
EVT00122,REQ004,CAND00122,LinkedIn,submitted,10,0.72,0,0,0,1,7840
EVT00123,REQ004,CAND00123,LinkedIn,qualified,23,0.89,0,0,0,0,10808
EVT00124,REQ004,CAND00124,Job board,offer,5,0.67,0,1,0,0,9044
EVT00125,REQ004,CAND00125,Referral,applied,5,0.62,0,0,1,0,12208
EVT00126,REQ004,CAND00126,Talent pool,applied,8,0.64,0,0,0,0,5796
EVT00127,REQ004,CAND00127,Talent pool,applied,34,0.97,0,0,0,0,11200
EVT00128,REQ004,CAND00128,Community event,qualified,36,0.76,0,0,0,0,12516
EVT00129,REQ004,CAND00129,LinkedIn,screened,23,0.75,0,0,0,0,5572
EVT00130,REQ004,CAND00130,Referral,qualified,0,0.87,0,0,0,0,10388
EVT00131,REQ004,CAND00131,Job board,offer,0,0.81,1,0,0,0,6048
EVT00132,REQ004,CAND00132,Job board,qualified,24,0.67,0,0,0,0,4480
EVT00133,REQ004,CAND00133,LinkedIn,qualified,18,0.85,0,0,0,0,10976
EVT00134,REQ004,CAND00134,Job board,submitted,28,0.69,0,0,0,0,12264
EVT00135,REQ004,CAND00135,LinkedIn,qualified,18,0.69,0,0,1,0,13608
EVT00136,REQ004,CAND00136,Referral,qualified,31,1.0,0,1,0,0,9996
EVT00137,REQ004,CAND00137,Referral,screened,25,0.61,0,0,0,0,10080
EVT00138,REQ004,CAND00138,Recruiter outreach,applied,15,0.74,0,0,1,0,9688
EVT00139,REQ004,CAND00139,Community event,applied,13,0.78,0,0,0,0,13104
EVT00140,REQ004,CAND00140,Recruiter outreach,offer,7,0.69,0,0,0,0,12488
EVT00141,REQ004,CAND00141,LinkedIn,applied,27,0.72,1,0,0,0,5740
EVT00142,REQ004,CAND00142,Job board,submitted,30,0.87,0,0,0,0,5572
EVT00143,REQ004,CAND00143,Referral,qualified,3,0.61,0,1,0,0,12600
EVT00144,REQ004,CAND00144,Job board,applied,22,0.92,0,0,0,0,9632
EVT00145,REQ004,CAND00145,Referral,submitted,28,0.81,0,0,0,1,11116
EVT00146,REQ004,CAND00146,LinkedIn,screened,35,0.65,0,0,0,0,10948
EVT00147,REQ004,CAND00147,LinkedIn,applied,24,0.89,0,0,1,0,3612
EVT00148,REQ004,CAND00148,LinkedIn,screened,24,0.66,0,0,0,0,13132
EVT00149,REQ004,CAND00149,Job board,qualified,33,0.86,0,0,0,0,3976
EVT00150,REQ005,CAND00150,LinkedIn,offer,24,0.86,1,1,0,1,10503
EVT00151,REQ005,CAND00151,Job board,screened,13,0.86,1,0,0,1,4320
EVT00152,REQ005,CAND00152,Talent pool,qualified,3,0.93,0,0,0,0,6912
EVT00153,REQ005,CAND00153,Talent pool,qualified,6,0.88,0,1,0,0,10584
EVT00154,REQ005,CAND00154,LinkedIn,qualified,35,0.75,0,0,0,0,4698
EVT00155,REQ005,CAND00155,Job board,submitted,11,0.81,0,0,0,0,10206
EVT00156,REQ005,CAND00156,LinkedIn,qualified,20,0.93,0,0,0,0,8937
EVT00157,REQ005,CAND00157,Job board,submitted,35,0.97,0,0,0,0,6750
EVT00158,REQ005,CAND00158,Job board,qualified,1,0.8,0,1,1,0,7398
EVT00159,REQ005,CAND00159,Community event,applied,17,0.97,0,0,0,0,10287
EVT00160,REQ005,CAND00160,Recruiter outreach,screened,23,0.95,0,1,0,0,6669
EVT00161,REQ005,CAND00161,Recruiter outreach,applied,20,0.91,0,0,0,0,5616
EVT00162,REQ005,CAND00162,Recruiter outreach,qualified,2,0.89,0,0,1,0,11205
EVT00163,REQ005,CAND00163,Talent pool,qualified,7,0.95,0,0,0,0,6372
EVT00164,REQ005,CAND00164,Recruiter outreach,submitted,33,0.6,0,0,0,1,10692
EVT00165,REQ005,CAND00165,LinkedIn,screened,28,0.9,0,0,0,0,11178
EVT00166,REQ005,CAND00166,LinkedIn,qualified,36,0.89,0,0,0,1,10800
EVT00167,REQ005,CAND00167,Referral,qualified,35,0.66,0,0,0,0,8694
EVT00168,REQ005,CAND00168,LinkedIn,screened,27,0.72,0,0,0,1,11178
EVT00169,REQ005,CAND00169,Talent pool,applied,1,0.9,0,0,0,0,5562
EVT00170,REQ005,CAND00170,Job board,placed,14,0.66,0,0,0,1,8397
EVT00171,REQ005,CAND00171,Talent pool,applied,9,0.94,0,0,0,0,7209
EVT00172,REQ005,CAND00172,Talent pool,applied,34,0.67,0,0,1,0,10773
EVT00173,REQ005,CAND00173,LinkedIn,qualified,1,0.74,0,0,0,0,12393
EVT00174,REQ005,CAND00174,LinkedIn,qualified,29,0.85,0,0,0,0,3348
EVT00175,REQ005,CAND00175,Talent pool,applied,18,0.94,0,0,0,0,12204
EVT00176,REQ005,CAND00176,Community event,qualified,38,0.8,0,0,0,0,5805
EVT00177,REQ005,CAND00177,Community event,applied,19,0.72,0,0,1,0,8667
EVT00178,REQ005,CAND00178,Referral,submitted,32,0.7,0,0,0,0,4077
EVT00179,REQ005,CAND00179,Recruiter outreach,screened,17,0.67,0,0,1,0,7938
EVT00180,REQ005,CAND00180,Talent pool,interview,40,0.87,0,0,0,0,8991
EVT00181,REQ005,CAND00181,LinkedIn,applied,13,0.85,0,0,0,0,11259
EVT00182,REQ005,CAND00182,Recruiter outreach,screened,8,0.76,0,0,0,0,13878
EVT00183,REQ005,CAND00183,Recruiter outreach,applied,7,0.66,0,0,0,0,5238
EVT00184,REQ005,CAND00184,Talent pool,submitted,40,0.97,0,0,0,0,7020
EVT00185,REQ005,CAND00185,LinkedIn,applied,38,0.82,0,1,0,0,6426
EVT00186,REQ005,CAND00186,LinkedIn,screened,38,0.78,1,1,0,0,12204
EVT00187,REQ005,CAND00187,Recruiter outreach,qualified,0,0.97,0,0,0,1,8937
EVT00188,REQ005,CAND00188,Talent pool,applied,28,0.94,0,0,0,0,9990
EVT00189,REQ005,CAND00189,Recruiter outreach,screened,24,0.88,0,0,0,0,8667
EVT00190,REQ005,CAND00190,Talent pool,screened,33,0.63,0,0,0,0,9531
EVT00191,REQ005,CAND00191,Referral,submitted,35,0.74,0,0,0,0,13797
EVT00192,REQ005,CAND00192,Referral,screened,29,0.65,0,0,0,0,7290
EVT00193,REQ005,CAND00193,Referral,screened,32,0.63,0,0,0,0,13986
EVT00194,REQ005,CAND00194,Recruiter outreach,screened,29,0.83,0,0,0,1,13068
EVT00195,REQ005,CAND00195,Recruiter outreach,interview,10,0.88,0,0,0,0,4941
EVT00196,REQ005,CAND00196,Talent pool,applied,32,0.84,0,1,0,0,5427
EVT00197,REQ005,CAND00197,LinkedIn,qualified,9,0.65,0,0,0,0,5238
EVT00198,REQ005,CAND00198,Talent pool,applied,40,0.66,0,0,0,0,5049
EVT00199,REQ005,CAND00199,Referral,offer,0,0.84,0,1,0,0,10044
EVT00200,REQ006,CAND00200,Talent pool,applied,70,0.7,0,0,0,1,12348
EVT00201,REQ006,CAND00201,Recruiter outreach,screened,4,0.86,1,0,0,1,11984
EVT00202,REQ006,CAND00202,Recruiter outreach,applied,76,0.82,1,0,0,0,11396
EVT00203,REQ006,CAND00203,Job board,applied,47,0.96,0,0,1,0,4312
EVT00204,REQ006,CAND00204,Recruiter outreach,submitted,42,0.8,0,0,0,0,10864
EVT00205,REQ006,CAND00205,LinkedIn,applied,11,0.78,0,0,0,0,13216
EVT00206,REQ006,CAND00206,Talent pool,screened,73,1.0,0,0,0,0,8428
EVT00207,REQ006,CAND00207,Job board,interview,29,0.88,0,0,0,0,6132
EVT00208,REQ006,CAND00208,Referral,applied,53,0.75,0,1,0,0,8120
EVT00209,REQ006,CAND00209,Recruiter outreach,qualified,8,0.71,0,0,0,0,10612
EVT00210,REQ006,CAND00210,Talent pool,screened,3,0.93,0,0,0,0,6132
EVT00211,REQ006,CAND00211,LinkedIn,qualified,61,0.65,0,0,0,0,9940
EVT00212,REQ006,CAND00212,Job board,interview,66,0.71,0,0,0,0,13748
EVT00213,REQ006,CAND00213,Job board,screened,45,0.61,1,0,0,0,5488
EVT00214,REQ006,CAND00214,Referral,applied,49,0.66,0,0,0,0,5012
EVT00215,REQ006,CAND00215,Talent pool,interview,63,0.95,0,0,1,0,8680
EVT00216,REQ006,CAND00216,Community event,qualified,25,0.96,0,0,0,0,9716
EVT00217,REQ006,CAND00217,Talent pool,qualified,67,0.71,0,0,0,0,8036
EVT00218,REQ006,CAND00218,Recruiter outreach,applied,4,0.77,0,0,0,0,13580
EVT00219,REQ006,CAND00219,Referral,interview,42,0.78,0,1,0,0,4004
EVT00220,REQ006,CAND00220,Talent pool,applied,26,0.71,0,1,0,0,6104
EVT00221,REQ006,CAND00221,Job board,applied,14,0.59,0,0,0,0,12264
EVT00222,REQ006,CAND00222,Referral,screened,36,0.82,0,0,0,0,5796
EVT00223,REQ006,CAND00223,Job board,applied,6,0.62,0,0,0,0,4116
EVT00224,REQ006,CAND00224,Job board,applied,57,0.84,0,0,0,0,7812
EVT00225,REQ006,CAND00225,LinkedIn,qualified,59,0.82,0,0,1,0,4676
EVT00226,REQ006,CAND00226,Recruiter outreach,submitted,59,0.78,0,0,0,0,6552
EVT00227,REQ006,CAND00227,Recruiter outreach,applied,42,0.91,0,0,0,0,8008
EVT00228,REQ006,CAND00228,Referral,qualified,44,0.83,0,0,0,0,5180
EVT00229,REQ006,CAND00229,Job board,qualified,38,0.8,0,1,0,1,9100
EVT00230,REQ006,CAND00230,LinkedIn,screened,26,0.92,0,0,0,1,11816
EVT00231,REQ007,CAND00231,Job board,submitted,4,0.89,0,0,0,0,19360
EVT00232,REQ007,CAND00232,Job board,screened,11,0.71,0,0,0,0,13080
EVT00233,REQ007,CAND00233,Referral,applied,42,0.61,0,0,0,0,9240
EVT00234,REQ007,CAND00234,Recruiter outreach,submitted,9,0.77,0,0,1,0,10760
EVT00235,REQ007,CAND00235,Job board,qualified,43,0.71,0,0,0,0,13680
EVT00236,REQ007,CAND00236,Recruiter outreach,screened,54,0.63,0,0,0,0,10800
EVT00237,REQ007,CAND00237,Recruiter outreach,applied,7,0.94,0,1,0,0,5400
EVT00238,REQ007,CAND00238,Talent pool,applied,34,0.67,0,0,0,0,8320
EVT00239,REQ007,CAND00239,LinkedIn,qualified,42,0.63,0,0,0,0,5000
EVT00240,REQ007,CAND00240,Referral,applied,5,0.64,0,0,0,0,13280
EVT00241,REQ007,CAND00241,Recruiter outreach,interview,27,0.81,0,0,0,0,14000
EVT00242,REQ007,CAND00242,LinkedIn,qualified,45,0.79,0,1,0,0,13200
EVT00243,REQ007,CAND00243,Job board,interview,37,0.78,1,1,0,0,18920
EVT00244,REQ007,CAND00244,Talent pool,applied,33,0.61,0,0,0,0,17280
EVT00245,REQ007,CAND00245,Job board,applied,51,0.82,0,0,0,0,17320
EVT00246,REQ007,CAND00246,LinkedIn,applied,46,0.72,0,0,0,0,12000
EVT00247,REQ007,CAND00247,Talent pool,offer,46,0.91,0,1,0,0,10120
EVT00248,REQ007,CAND00248,Job board,applied,39,0.59,0,1,0,0,14720
EVT00249,REQ007,CAND00249,Job board,applied,54,0.69,0,0,0,0,19960
EVT00250,REQ007,CAND00250,LinkedIn,applied,16,0.91,0,0,0,0,9600
EVT00251,REQ007,CAND00251,Talent pool,qualified,52,0.64,0,0,0,0,14920
EVT00252,REQ007,CAND00252,Job board,submitted,36,0.89,0,0,0,0,11840
EVT00253,REQ007,CAND00253,LinkedIn,applied,30,0.89,0,1,0,0,20200
EVT00254,REQ007,CAND00254,LinkedIn,interview,27,0.58,0,0,0,0,13960
EVT00255,REQ007,CAND00255,LinkedIn,qualified,22,0.98,0,0,0,0,13640
EVT00256,REQ007,CAND00256,Talent pool,screened,37,0.74,0,0,0,0,20600
EVT00257,REQ007,CAND00257,LinkedIn,screened,11,0.71,0,0,0,0,5000
EVT00258,REQ007,CAND00258,Recruiter outreach,screened,14,0.88,1,0,0,0,9920
EVT00259,REQ007,CAND00259,Referral,applied,38,0.85,0,0,0,0,19280
EVT00260,REQ007,CAND00260,Referral,offer,51,0.99,0,0,0,0,7040
EVT00261,REQ007,CAND00261,LinkedIn,screened,17,0.9,0,0,0,0,18960
EVT00262,REQ007,CAND00262,Talent pool,interview,24,0.74,0,0,0,0,6000
EVT00263,REQ007,CAND00263,Recruiter outreach,applied,25,0.65,0,1,0,0,14840
EVT00264,REQ007,CAND00264,Job board,applied,16,0.62,0,0,0,0,6280
EVT00265,REQ007,CAND00265,Talent pool,applied,0,0.97,0,1,0,0,18400
EVT00266,REQ007,CAND00266,LinkedIn,qualified,49,0.79,0,0,1,0,13720
EVT00267,REQ007,CAND00267,Talent pool,qualified,44,0.92,0,0,0,0,14640
EVT00268,REQ008,CAND00268,Recruiter outreach,screened,41,0.62,0,0,0,0,16113
EVT00269,REQ008,CAND00269,LinkedIn,interview,35,0.6,0,0,0,0,12956
EVT00270,REQ008,CAND00270,LinkedIn,screened,56,0.85,0,1,0,0,20336
EVT00271,REQ008,CAND00271,Referral,applied,50,0.81,1,0,0,0,11357
EVT00272,REQ008,CAND00272,Community event,qualified,21,0.91,0,0,1,0,5781
EVT00273,REQ008,CAND00273,LinkedIn,qualified,34,0.64,0,0,0,0,17056
EVT00274,REQ008,CAND00274,Referral,applied,39,0.6,0,0,1,0,19639
EVT00275,REQ008,CAND00275,Referral,screened,39,0.65,0,0,0,1,17302
EVT00276,REQ008,CAND00276,Recruiter outreach,applied,12,0.76,0,0,0,1,20377
EVT00277,REQ008,CAND00277,LinkedIn,screened,50,0.67,0,0,0,0,5863
EVT00278,REQ008,CAND00278,LinkedIn,screened,35,0.65,0,0,0,0,10004
EVT00279,REQ008,CAND00279,Referral,interview,1,0.95,0,0,0,0,6601
EVT00280,REQ008,CAND00280,LinkedIn,applied,51,0.91,0,0,0,0,14883
EVT00281,REQ008,CAND00281,LinkedIn,screened,39,0.87,0,0,0,0,17425
EVT00282,REQ008,CAND00282,Job board,applied,0,0.81,0,0,0,0,8938
EVT00283,REQ008,CAND00283,Job board,applied,14,0.77,0,0,0,0,18040
EVT00284,REQ008,CAND00284,LinkedIn,screened,30,0.79,0,0,0,0,8241
EVT00285,REQ008,CAND00285,Referral,screened,51,0.95,0,0,0,0,14432
EVT00286,REQ008,CAND00286,Talent pool,applied,7,0.61,0,0,0,0,9840
EVT00287,REQ008,CAND00287,Job board,submitted,49,0.63,0,0,0,0,9676
EVT00288,REQ008,CAND00288,Talent pool,applied,31,0.6,0,0,0,0,14063
EVT00289,REQ008,CAND00289,Recruiter outreach,applied,40,0.73,0,0,0,0,10578
EVT00290,REQ008,CAND00290,LinkedIn,applied,29,0.76,0,1,0,0,20869
EVT00291,REQ008,CAND00291,Recruiter outreach,qualified,10,0.82,0,0,0,0,16523
EVT00292,REQ008,CAND00292,Referral,interview,53,0.77,0,0,0,0,5207
EVT00293,REQ008,CAND00293,Talent pool,submitted,37,0.98,0,0,0,0,16933
EVT00294,REQ008,CAND00294,Job board,interview,27,0.8,1,0,0,0,14965
EVT00295,REQ009,CAND00295,Recruiter outreach,submitted,52,0.98,0,0,0,1,5610
EVT00296,REQ009,CAND00296,LinkedIn,qualified,58,0.94,0,1,0,0,15060
EVT00297,REQ009,CAND00297,Community event,screened,47,0.84,0,0,0,0,14400
EVT00298,REQ009,CAND00298,Recruiter outreach,screened,54,0.9,0,0,0,1,14310
EVT00299,REQ009,CAND00299,Job board,offer,7,0.8,0,0,0,0,13950
EVT00300,REQ009,CAND00300,Referral,qualified,8,0.82,0,0,0,0,15480
EVT00301,REQ009,CAND00301,Community event,applied,26,0.9,0,1,0,0,15270
EVT00302,REQ009,CAND00302,LinkedIn,applied,44,0.77,0,0,0,1,11280
EVT00303,REQ009,CAND00303,LinkedIn,qualified,47,0.92,0,0,0,0,14220
EVT00304,REQ009,CAND00304,Recruiter outreach,submitted,22,0.7,0,0,0,1,4770
EVT00305,REQ009,CAND00305,LinkedIn,applied,2,0.7,0,0,0,0,14070
EVT00306,REQ009,CAND00306,LinkedIn,screened,8,0.59,0,0,0,0,7140
EVT00307,REQ009,CAND00307,Job board,submitted,62,0.83,0,0,0,0,14280
EVT00308,REQ009,CAND00308,Job board,qualified,33,0.68,0,0,0,0,9300
EVT00309,REQ009,CAND00309,Talent pool,placed,20,0.88,1,0,0,0,7980
EVT00310,REQ009,CAND00310,LinkedIn,applied,14,0.6,0,0,0,0,8460
EVT00311,REQ009,CAND00311,Job board,screened,44,0.64,0,0,0,0,10470
EVT00312,REQ009,CAND00312,LinkedIn,qualified,18,0.98,0,0,0,0,8490
EVT00313,REQ009,CAND00313,Community event,applied,37,0.99,0,0,0,0,15180
EVT00314,REQ009,CAND00314,Job board,placed,14,0.89,0,0,0,0,4200
EVT00315,REQ009,CAND00315,Job board,applied,11,0.72,0,0,0,0,12930
EVT00316,REQ009,CAND00316,Job board,screened,57,0.86,0,0,0,1,4920
EVT00317,REQ009,CAND00317,Job board,placed,46,0.75,0,0,0,1,14580
EVT00318,REQ009,CAND00318,LinkedIn,interview,11,0.67,0,0,0,0,10410
EVT00319,REQ009,CAND00319,Job board,submitted,53,0.64,0,0,0,0,12600
